City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,yellowknife,90,CA,1553666169,79,62.45,-114.38,23.0,13.87
1,portobelo,20,PA,1553666098,74,9.55,-79.65,78.8,6.93
2,miles city,1,US,1553666228,61,46.41,-105.84,48.2,4.7
3,rikitea,88,PF,1553666157,96,-23.12,-134.97,80.18,14.38
4,saint-pierre,0,FR,1553665924,86,48.95,4.24,39.2,5.82
5,fortuna,0,ES,1553666180,46,38.18,-1.13,50.0,4.7
6,ponta delgada,20,PT,1553666184,67,37.73,-25.67,57.2,23.04
7,presidente medici,88,BR,1553666285,96,-11.18,-61.9,72.71,2.08
8,mataura,88,NZ,1553665805,88,-46.19,168.86,52.0,8.99
9,broken hill,0,AU,1553662800,23,-31.97,141.45,73.4,9.17
10,busselton,0,AU,1553666120,22,-33.64,115.35,82.0,16.51
11,port hardy,40,CA,1553662800,93,50.7,-127.42,42.8,3.36
12,gushi,80,CN,1553666254,83,32.17,115.65,63.44,3.76
13,wattegama,0,LK,1553666287,50,7.35,80.68,88.73,3.65
14,saskylakh,88,RU,1553666287,88,71.97,114.09,23.93,8.01
15,hermanus,0,ZA,1553665542,82,-34.42,19.24,64.0,2.64
16,saint-philippe,1,CA,1553666204,58,45.36,-73.48,27.0,8.05
17,rocha,0,UY,1553666289,87,-34.48,-54.34,55.88,6.22
18,vaini,20,IN,1553662800,58,15.34,74.49,84.2,5.82
19,paracuru,20,BR,1553665691,94,-3.41,-39.03,77.0,2.64
20,ponta do sol,88,BR,1553666290,81,-20.63,-46.0,68.03,3.42
21,malinovoye ozero,36,RU,1553666290,77,51.68,79.77,45.44,6.67
22,miri,0,NG,1553666231,42,10.31,9.75,62.9,4.99
23,tavda,0,RU,1553666291,93,58.04,65.27,34.01,8.34
24,arlit,76,NE,1553666291,31,18.74,7.39,69.11,4.43
25,bulgan,0,MN,1553666292,26,48.81,103.53,31.4,4.09
26,port elizabeth,1,US,1553666129,86,39.31,-74.98,37.99,9.46
27,hithadhoo,44,MV,1553666249,100,-0.6,73.08,82.25,1.63
28,hammerfest,75,NO,1553664000,58,70.66,23.68,26.6,13.87
29,kalmunai,0,LK,1553666293,64,7.42,81.82,89.18,5.32
30,vila velha,20,BR,1553665691,94,-3.71,-38.6,77.0,5.66
31,port alfred,12,ZA,1553666293,89,-33.59,26.89,67.22,14.5
32,thompson,75,CA,1553662800,69,55.74,-97.86,37.4,3.36
33,jamestown,8,AU,1553666159,73,-33.21,138.6,67.76,4.43
34,nioro,0,GM,1553666260,59,13.79,-15.05,66.68,9.57
35,new norfolk,0,AU,1553666114,32,-42.78,147.06,68.0,13.87
36,kloulklubed,75,PW,1553662200,79,7.04,134.26,84.2,12.75
37,butaritari,88,KI,1553666295,100,3.07,172.79,83.69,17.52
38,kavieng,44,PG,1553666296,98,-2.57,150.8,85.58,8.46
39,yerbogachen,64,RU,1553666122,67,61.28,108.01,28.88,4.76
40,hobart,0,AU,1553666114,32,-42.88,147.33,68.0,13.87
41,cockburn town,92,TC,1553666297,100,21.46,-71.14,76.13,10.13
42,tuktoyaktuk,90,CA,1553662800,92,69.44,-133.03,23.0,14.99
43,saldanha,0,PT,1553666175,49,41.42,-6.55,39.95,11.7
44,lavrentiya,88,RU,1553666297,89,65.58,-170.99,32.66,32.73
45,kapaa,90,US,1553666003,94,22.08,-159.32,69.8,10.29
46,kamien pomorski,20,PL,1553666171,100,53.97,14.77,30.99,2.24
47,ushuaia,75,AR,1553662800,76,-54.81,-68.31,51.8,3.36
48,victoria,75,BN,1553662800,70,5.28,115.24,89.6,3.36
49,mantua,0,IT,1553666283,60,45.16,10.79,48.99,8.05
50,kabo,76,CF,1553666300,67,7.69,18.62,79.28,10.02
51,vestmannaeyjar,92,IS,1553666300,95,63.44,-20.27,42.29,30.82
52,hasaki,20,JP,1553664600,45,35.73,140.83,66.2,10.29
53,cidreira,36,BR,1553666137,90,-30.17,-50.22,64.16,5.66
54,sibolga,88,ID,1553666247,93,1.74,98.78,76.31,2.19
55,padang,75,ID,1553662800,83,-0.92,100.36,82.4,4.7
56,barrow,0,AR,1553666145,91,-38.31,-60.23,45.08,6.11
57,kodiak,1,US,1553666007,45,39.95,-94.76,51.01,13.87
58,iqaluit,20,CA,1553665921,69,63.75,-68.52,-9.01,6.93
59,souillac,0,FR,1553666049,78,45.6,-0.6,41.0,9.17
60,lebu,0,ET,1553662800,67,8.96,38.73,62.6,3.36
61,kushiro,75,JP,1553662800,41,43.11,144.15,39.2,16.11
62,najran,5,SA,1553662800,49,17.54,44.22,71.6,4.7
63,atambua,68,ID,1553666303,100,-9.11,124.89,81.98,8.57
64,khatanga,92,RU,1553666303,94,71.98,102.47,30.95,12.71
65,dikson,80,RU,1553666258,98,73.51,80.55,31.49,34.96
66,albany,1,US,1553666111,45,42.65,-73.75,28.99,4.7
67,vilyuysk,0,RU,1553666304,53,63.75,121.63,17.54,6.67
68,sao filipe,80,CV,1553666293,100,14.9,-24.5,68.75,10.69
69,alta floresta,76,BR,1553666304,96,-9.87,-56.08,74.06,2.19
70,husavik,80,CA,1553666127,99,50.56,-96.99,34.0,8.99
71,chokurdakh,8,RU,1553666276,74,70.62,147.9,0.26,17.96
72,severo-kurilsk,88,RU,1553666139,95,50.68,156.12,29.96,14.05
73,san jose,20,PH,1553666308,66,15.79,120.99,82.16,6.78
74,punta arenas,40,CL,1553665945,57,-53.16,-70.91,51.8,25.28
75,east london,0,ZA,1553663940,77,-33.02,27.91,64.4,4.7
76,talnakh,88,RU,1553666245,91,69.49,88.39,27.44,22.55
77,bagnols-sur-ceze,0,FR,1553666295,52,44.16,4.62,48.0,18.34
78,luwuk,24,ID,1553666309,100,-0.95,122.79,81.08,2.42
79,paita,24,PE,1553666301,83,-5.09,-81.11,71.45,3.2
80,mahibadhoo,0,MV,1553666174,100,3.78,72.97,84.5,9.69
81,kruisfontein,48,ZA,1553666228,82,-34.0,24.73,61.28,11.59
82,turbat,48,PK,1553666310,26,26.0,63.05,89.0,2.86
83,atherton,90,GB,1553666305,81,53.52,-2.49,46.99,1.12
84,sinegorye,76,RU,1553666311,71,62.09,150.53,6.02,6.67
85,chulman,56,RU,1553666311,47,56.84,124.9,13.67,8.23
86,martapura,40,ID,1553664600,70,-3.41,114.85,87.8,6.93
87,georgetown,0,GY,1553662800,94,6.8,-58.16,71.6,2.24
88,kahului,20,US,1553666078,60,20.89,-156.47,75.2,12.75
89,touros,40,BR,1553662800,100,-5.2,-35.46,75.2,3.36
90,jertih,75,MY,1553662800,62,5.74,102.5,89.6,8.05
91,berlevag,0,NO,1553662200,62,70.86,29.09,23.0,13.87
92,maniitsoq,0,GL,1553666315,72,65.42,-52.9,5.57,5.99
93,codrington,90,AU,1553666273,88,-28.95,153.24,69.8,7.0
94,hilo,90,US,1553666141,64,19.71,-155.08,73.4,5.82
95,nanortalik,64,GL,1553666159,100,60.14,-45.24,23.48,14.83
96,sun valley,5,US,1553662260,74,43.7,-114.35,37.4,9.17
97,avarua,32,CK,1553664600,88,-21.21,-159.78,80.6,2.24
98,viedma,0,AR,1553666317,86,-40.81,-62.99,49.13,9.35
99,gat,0,SN,1553664600,93,14.69,-16.54,64.4,12.75
100,petropavlovsk-kamchatskiy,0,RU,1553664600,71,53.05,158.65,32.0,8.95
101,praia da vitoria,40,PT,1553665659,76,38.73,-27.07,57.2,15.5
102,marsh harbour,48,BS,1553666279,100,26.54,-77.06,74.42,6.22
103,arraial do cabo,8,BR,1553666115,99,-22.97,-42.02,75.68,2.98
104,bethel,1,US,1553662560,88,60.79,-161.76,35.6,10.29
105,narsaq,32,GL,1553662200,48,60.91,-46.05,17.6,11.41
106,gayeri,76,BF,1553666320,68,12.65,0.49,76.94,4.99
107,bredasdorp,20,ZA,1553665542,87,-34.53,20.04,64.0,1.12
108,vanimo,8,PG,1553666172,100,-2.67,141.3,83.06,15.17
109,roswell,1,US,1553666036,55,33.39,-104.52,64.4,13.87
110,hit,0,IQ,1553666252,77,33.64,42.83,56.96,5.32
111,palana,80,RU,1553666321,62,59.08,159.95,12.95,6.11
112,doka,0,SD,1553666322,23,13.52,35.76,78.02,8.9
113,kudat,75,MY,1553662800,74,6.89,116.84,86.0,9.17
114,dryden,90,CA,1553662800,69,49.79,-92.84,37.4,13.87
115,skagen,0,SE,1553666105,86,58.6,13.44,41.0,5.82
116,mnogovershinnyy,64,RU,1553666323,54,53.94,139.92,18.53,5.77
117,pangnirtung,24,CA,1553666177,62,66.15,-65.72,-8.39,2.3
118,ugoofaaru,0,MV,1553666324,100,5.67,73.0,84.41,4.65
119,ozieri,75,IT,1553666284,76,40.59,9.0,51.8,16.11
120,zeya,44,RU,1553666325,40,53.74,127.27,20.24,7.23
121,araouane,8,ML,1553666325,34,18.9,-3.53,82.07,10.69
122,cherskiy,88,RU,1553666308,74,68.75,161.3,9.62,13.15
123,jian,0,IN,1553666326,53,25.65,87.89,84.14,4.43
124,beira,0,ES,1553666322,81,43.2,-8.36,50.0,8.05
125,colares,0,PT,1553666222,76,38.8,-9.45,57.99,5.82
126,coihaique,0,CL,1553662800,86,-45.58,-72.07,41.0,1.86
127,castro,0,CL,1553662800,81,-42.48,-73.76,46.4,5.82
128,rorvik,75,NO,1553666102,87,64.86,11.24,42.8,10.29
129,bluff,92,AU,1553666166,44,-23.58,149.07,87.2,11.81
130,belo oriente,56,BR,1553666329,94,-19.22,-42.48,69.56,3.53
131,kita,20,JP,1553666121,37,35.76,139.74,68.0,19.46
132,uspenka,92,UA,1553666330,100,48.39,39.16,42.38,4.43
133,kudahuvadhoo,8,MV,1553666247,100,2.67,72.89,84.68,10.47
134,atuona,20,PF,1553666146,99,-9.8,-139.03,82.61,14.16
135,upernavik,44,GL,1553666331,100,72.79,-56.15,3.32,6.44
136,santa isabel do rio negro,12,BR,1553666331,91,-0.41,-65.02,78.38,2.53
137,yining,92,CN,1553666331,98,29.04,114.56,65.06,4.21
138,pevek,92,RU,1553666293,75,69.7,170.27,25.91,2.86
139,khasan,36,RU,1553666332,69,42.43,130.64,38.33,7.34
140,faanui,8,PF,1553666152,100,-16.48,-151.75,84.41,4.76
141,polunochnoye,0,RU,1553666333,80,60.87,60.43,37.25,7.67
142,listvyanskiy,76,RU,1553666333,94,54.44,83.49,32.75,6.89
143,roma,40,IT,1553666104,53,41.89,12.48,55.0,2.24
144,cap malheureux,75,MU,1553666047,74,-19.98,57.61,86.0,6.93
145,la carolina,0,ES,1553666335,45,38.27,-3.62,41.75,10.69
